"logFC" "logCPM" "PValue" "FDR" "promoter_ID"
"JGI_V11_299867" 8.5209848232806 6.83730110035683 1.82708256498192e-19 1.64647626187707e-17 "scaffold_47_126161_126520_-"
"JGI_V11_4167" -7.89596749684183 4.03902856625667 2.10508462906656e-19 1.86400667632911e-17 "scaffold_3_844702_844705_+"
"JGI_V11_299870" 8.11619580069905 5.96560416289704 2.87656558599069e-19 2.52517822087441e-17 "scaffold_55_145115_145148_-"
"JGI_V11_190063" -7.9287067324601 3.47926160302451 2.93941071110561e-19 2.55829224540072e-17 "scaffold_5_1153311_1153438_+"
"JGI_V11_220094" 8.24836890909778 4.23371044797644 3.0167485897547e-19 2.60335177029425e-17 "scaffold_156_209105_209111_+"
"JGI_V11_205240" 3.97744165730253 6.15945818420906 4.06284281682979e-19 3.44766070031481e-17 "scaffold_45_39175_39221_+"
"JGI_V11_300090" 3.23532866145865 6.40239863150246 4.60739985482219e-19 3.87745063815325e-17 "scaffold_75_325785_325791_+"
"JGI_V11_300091" -16.0126431469453 11.2822424945076 5.82615037905069e-19 4.8629253532683e-17 "scaffold_67_52756_52789_-"
"JGI_V11_299504" 8.11080916310265 6.38107325577999 9.1341624522221e-19 7.38199811515696e-17 "scaffold_20_881305_881318_-"
"JGI_V11_300097" 3.96958932778123 6.30689664714175 1.15004957531878e-18 9.22122427202454e-17 "scaffold_11_1886036_1886046_-"
"JGI_V11_300101" -3.05864219274563 4.77684604143954 1.16791678106584e-18 9.29132545436985e-17 "scaffold_59_687365_687377_-"
"JGI_V11_220118" -2.55859005945107 7.73291062314096 1.78423880331666e-18 1.39760797955181e-16 "scaffold_17_1297103_1297130_+"
"JGI_V11_299889" 8.13522195089828 5.52658667524178 1.92514455588722e-18 1.49646923760302e-16 "scaffold_55_666194_666224_-"
"JGI_V11_309801" 3.47887976830155 6.31145552634424 2.05079818809886e-18 1.58206651131899e-16 "scaffold_8_33211_33474_-"
"JGI_V11_300107" -7.78657482510556 3.36666326405743 2.46823155190874e-18 1.88977457842757e-16 "scaffold_8_1382889_1382891_+"
"JGI_V11_299901" -8.01981200000828 3.55225149441253 9.15675422493463e-18 6.70814591888556e-16 "scaffold_37_341520_341527_+"
"JGI_V11_299906" 3.09964938000627 6.55677391838302 1.57910057161325e-17 1.14042419296012e-15 "scaffold_146_148018_148059_+"
"JGI_V11_299909" 2.33418936600442 7.46535308394167 1.63222811201758e-17 1.17049146934331e-15 "scaffold_82_514963_515069_+"
"JGI_V11_230099" 3.93078497642203 5.35546035259519 1.804805505153e-17 1.26747134199814e-15 "scaffold_230_130809_130842_+"
"JGI_V11_300120" 8.07374029695098 4.08009149757957 2.32279476161555e-17 1.62006979846103e-15 "scaffold_86_359767_359793_+"
"JGI_V11_232462" -7.67872092889072 3.28275250155326 2.89262294602772e-17 2.00378091560546e-15 "scaffold_10_678597_678612_-"
"JGI_V11_232463" -7.67872092889072 3.28275250155326 2.89262294602772e-17 2.00378091560546e-15 "scaffold_10_678597_678612_-.1"
"JGI_V11_299913" -2.10936998478956 7.61091938381486 3.14045633508554e-17 2.16076127433622e-15 "scaffold_598_27757_27766_-"
"JGI_V11_205334" 4.16873914973985 6.10712405064299 3.28613884425985e-17 2.24582227188578e-15 "scaffold_16_994450_994461_+"
"JGI_V11_94321" 2.32805577356274 6.68203262820309 3.55120621267897e-17 2.41079552424733e-15 "scaffold_1_517723_517732_+"
"JGI_V11_232495" 7.91540641637767 5.45619482357503 4.21094282182123e-17 2.78781003856337e-15 "scaffold_63_330765_330777_+"
"JGI_V11_232495.1" -2.5413466713331 5.59737057022634 4.21607331767416e-17 2.78781003856337e-15 "scaffold_245_8880_8890_+"
"JGI_V11_232495.2" -7.70411033352146 3.30212190144551 4.47040307246236e-17 2.93691061205705e-15 "scaffold_59_690522_690574_-"
"JGI_V11_205349" 7.89442439769637 5.40388856139809 7.00869241357462e-17 4.5749689004763e-15 "scaffold_173_128369_128376_+"
"JGI_V11_309890" -1.86128595414849 6.44289157165476 9.37220641022183e-17 6.07880113855343e-15 "scaffold_13_148777_148795_+"
"JGI_V11_309890.1" -2.57940914792074 6.67057459610134 1.20838936883029e-16 7.78799300177141e-15 "scaffold_10_99619_99709_-"
"JGI_V11_94342" -2.57940914792074 6.67057459610134 1.20838936883029e-16 7.78799300177141e-15 "scaffold_10_99619_99709_-.1"
"JGI_V11_220194" 7.88538642499642 5.19592672816639 1.70378114967865e-16 1.0843502154486e-14 "scaffold_145_66558_66561_+"
"JGI_V11_220196" 7.9783913493569 3.99577811037637 2.2936016762129e-16 1.43567955700124e-14 "scaffold_17_723309_723313_+"
"JGI_V11_220200" -9.34317946030815 4.7110858994293 2.42030834395609e-16 1.50280486990883e-14 "scaffold_3_199610_199615_-"
"JGI_V11_299926" 7.90838262285264 3.93563971577736 2.71373947387132e-16 1.67478842802616e-14 "scaffold_13_632607_632740_+"
"JGI_V11_299926.1" 3.7338436855699 8.80366943482296 2.98824537199553e-16 1.83309051945967e-14 "scaffold_8_16334_16338_-"
"JGI_V11_220202" 8.44044208717869 4.405521491688 3.75021232542392e-16 2.28673126405939e-14 "scaffold_13_633248_633283_+"
"JGI_V11_220202.1" 7.82044933021649 5.29448594232277 4.4922899555553e-16 2.72291598913212e-14 "scaffold_63_321004_321027_+"
"JGI_V11_299931" 2.26622199500718 7.04177065964014 5.05613926799486e-16 3.04654829384566e-14 "scaffold_61_660533_660629_-"
"JGI_V11_309932" 2.64751697499746 5.52621789212606 5.46715378986475e-16 3.27482512012898e-14 "scaffold_13_1724003_1724007_-"
"JGI_V11_300149" 4.14617669689252 6.48386351385319 5.67559254037884e-16 3.34072594443224e-14 "scaffold_96_207101_207106_+"
"JGI_V11_309949" -1.66067107735228 7.93428483264329 5.8457757417284e-16 3.42112266540346e-14 "scaffold_47_938676_938682_+"
"JGI_V11_220221" 8.73788804443544 5.2401334470458 7.06446940780321e-16 4.09926199046978e-14 "scaffold_10_68155_68159_+"
"JGI_V11_300155" -7.49095999833332 3.6427705096007 1.10913719957111e-15 6.30968944314671e-14 "scaffold_6_1763862_1763871_-"
"JGI_V11_309973" 7.91938879117908 3.94502165173002 1.37993528214604e-15 7.6368918359202e-14 "scaffold_10_39109_39169_+"
"JGI_V11_299952" 1.68306748267822 8.08518609010452 1.58709126512431e-15 8.64243334372236e-14 "scaffold_230_119422_119532_-"
"JGI_V11_300164" -1.67583288534269 7.48479584938329 1.65235755980691e-15 8.9499771444222e-14 "scaffold_7_1912285_1912295_+"
"JGI_V11_300165" -1.67884734667176 6.58118904717587 2.30389685911529e-15 1.23476745875637e-13 "scaffold_4_1228711_1228720_-"
"JGI_V11_300165.1" 3.10220603839999 7.63418759387681 2.91470343048671e-15 1.5539489545888e-13 "scaffold_51_81743_81757_+"
"JGI_V11_299958" 7.70304490998235 5.44698976904762 4.16224833582565e-15 2.20750910436003e-13 "scaffold_87_476965_477086_+"
"JGI_V11_299958.1" 2.21591092962518 5.7626956589326 4.30076157495894e-15 2.26915311491227e-13 "scaffold_19_862749_862778_-"
"JGI_V11_299958.2" 3.42618352108421 6.04747605651599 4.50988936688355e-15 2.36722698056573e-13 "scaffold_13_578660_578663_+"
"JGI_V11_299959" 3.42618352108421 6.04747605651599 4.50988936688355e-15 2.36722698056573e-13 "scaffold_13_578660_578663_+.1"
"JGI_V11_232690" 7.85546798416594 5.35694674740672 4.89213641638488e-15 2.54166454734935e-13 "scaffold_307_20635_20680_+"
"JGI_V11_232690.1" 7.83666898351535 3.87451429129665 5.28757657773199e-15 2.73316712137284e-13 "scaffold_17_1454155_1454161_+"
"JGI_V11_299963" 3.56137832946654 6.51011249867781 1.04438673498616e-14 5.31749506118201e-13 "scaffold_8_16083_16153_-"
"JGI_V11_126671" -3.05306408350585 4.83977234937729 1.06770492254029e-14 5.40917374439195e-13 "scaffold_89_464752_464757_+"
"JGI_V11_299967" 7.74039466384582 3.79229876427254 1.08629811831581e-14 5.47612561327223e-13 "scaffold_5_1481747_1481856_+"
"JGI_V11_190346" -7.674409032681 3.27846183443331 1.2165200076547e-14 6.10237597928465e-13 "scaffold_5_388463_388466_-"
"JGI_V11_310030" 7.93052142178693 5.1783421885128 1.22499608847028e-14 6.11477214161414e-13 "scaffold_51_69919_69950_+"
"JGI_V11_299971" 8.9195230254161 4.84367321334835 1.34454889368568e-14 6.67880067531772e-13 "scaffold_18_1147078_1147083_-"
"JGI_V11_300177" -7.38081592958323 3.05845872517125 1.44315489972525e-14 7.13380890480691e-13 "scaffold_10_1478596_1478647_-"
"JGI_V11_39424" -2.15605701896289 7.38909820292022 1.47647787245973e-14 7.26327254843356e-13 "scaffold_25_358189_358273_+"
"JGI_V11_299973" 7.69889954991951 5.51847132042691 2.69197041109573e-14 1.30534927124704e-12 "scaffold_51_74332_74447_+"
"JGI_V11_230130" -7.36438375176735 3.04644407856558 2.82565211541948e-14 1.3636784593041e-12 "scaffold_574_37623_37624_+"
"JGI_V11_230130.1" 2.97571260487136 6.31245712319363 3.36194794500701e-14 1.61484509075502e-12 "scaffold_9_487402_487443_-"
"JGI_V11_299978" -7.34211733345278 3.03029590761629 4.62367501471219e-14 2.20013470443057e-12 "scaffold_52_222939_223000_-"
"JGI_V11_39582" 3.22609694315499 10.6748877832056 5.54202248222231e-14 2.57691392403972e-12 "scaffold_14_1354974_1354985_+"
"JGI_V11_309508" 9.47067676111101 5.36461674272853 5.98765959673945e-14 2.75892930649764e-12 "scaffold_25_993508_993514_+"
"JGI_V11_189816" -7.48506480046153 3.4746823753221 6.57461243496481e-14 3.0157332623985e-12 "scaffold_211_94974_95118_+"
"JGI_V11_186885" -7.50622488387994 3.15074413275423 7.46422804155258e-14 3.40844099314484e-12 "scaffold_25_1030893_1030899_-"
"JGI_V11_309511" -7.50622488387994 3.15074413275423 7.46422804155258e-14 3.40844099314484e-12 "scaffold_25_1030893_1030899_-.1"
"JGI_V11_299998" -7.34505525406279 3.03227390722158 7.77677617138304e-14 3.53530856041043e-12 "scaffold_16_323272_323274_-"
"JGI_V11_299795" -7.29393801552696 2.99538613474385 1.06068996930833e-13 4.75815240417038e-12 "scaffold_10_1325078_1325151_+"
"JGI_V11_299797" 7.60300185737729 4.16532889372082 1.14401866603941e-13 5.10944827906987e-12 "scaffold_131_173595_173599_+"
"JGI_V11_230069" -1.43170006483832 7.40759260234853 1.38526873233782e-13 6.10657640753073e-12 "scaffold_101_432971_433055_-"
"JGI_V11_300013" -2.15605356121896 6.30073931112891 1.77040732048954e-13 7.70429818142949e-12 "scaffold_1_1478716_1478781_+"
"JGI_V11_299651" -7.23738106561407 2.95490639963519 2.08175980158016e-13 8.98244070317406e-12 "scaffold_14_431625_431646_+"
"JGI_V11_299806" -7.52187155554163 3.1622348598425 2.16988786152619e-13 9.32319328857435e-12 "scaffold_53_813211_813215_-"
"JGI_V11_93993" -1.61710591399556 6.60959010181355 2.27049527107472e-13 9.71447619552685e-12 "scaffold_62_476938_476993_+"
"JGI_V11_93995" 7.51538386285764 4.49024241493907 2.47413186637247e-13 1.05414580733351e-11 "scaffold_7_1790707_1790712_-"
"JGI_V11_299810" 1.78208749330195 8.13223234020029 2.87250987403882e-13 1.21372481524221e-11 "scaffold_15_272397_272429_+"
"JGI_V11_232072" -7.28928273972362 2.99177896897922 3.18944072955489e-13 1.34206921277097e-11 "scaffold_219_79495_79506_-"
"JGI_V11_232072.1" 7.57561409982304 5.04684658455109 3.528680220626e-13 1.47870578957344e-11 "scaffold_46_532887_532951_-"
"JGI_V11_300021" -7.25209336433804 2.96524447953406 3.61620944936926e-13 1.50917462389046e-11 "scaffold_40_708367_708434_-"
"JGI_V11_232076" -1.5042615773344 6.71111873787909 3.6795457987485e-13 1.52933938239412e-11 "scaffold_54_579700_579708_-"
"JGI_V11_189897" -2.28492325403169 5.1902329916509 4.03931744392688e-13 1.6720475419312e-11 "scaffold_218_139954_139962_-"
"JGI_V11_39671" 7.54139151836124 4.20884361604047 4.100069833831e-13 1.69032433675713e-11 "scaffold_30_806812_806817_+"
"JGI_V11_299813" -7.41400469636222 3.08216473277218 5.08810434945405e-13 2.06422974464106e-11 "scaffold_14_1326684_1326685_+"
"JGI_V11_300028" -7.23243221403992 2.95168209544027 5.18104463230146e-13 2.09359434487007e-11 "scaffold_72_272090_272097_-"
"JGI_V11_219999" -1.83800195213429 5.78992771122151 5.94183599020084e-13 2.38211479874863e-11 "scaffold_5_2323818_2323826_-"
"JGI_V11_299821" -1.66250521738814 6.71701522069999 6.01219100031539e-13 2.40086827279261e-11 "scaffold_18_700351_700355_-"
"JGI_V11_299824" 3.52660192085723 5.89727742223482 7.1954871489059e-13 2.85560822752438e-11 "scaffold_163_130491_130525_-"
