"MvMf" "pEvM" "MfvpE" "MvF" "AvS"
"scaffold_1_2640091_2640211_+" 0 0 0 0 0
"scaffold_1_2645824_2645884_+" 0 0 0 0 0
"scaffold_1_2652975_2653124_+" 0 0 0 0 0
"scaffold_1_2667121_2667194_+" 0 0 0 0 0
"scaffold_1_2686882_2687081_+" 0 0 0 0 0
"scaffold_1_2688963_2689240_+" 0 0 0 0 0
"scaffold_1_2692183_2692213_+" 0 -1 0 1 0
"scaffold_1_2752466_2752601_+" 0 0 0 0 0
"scaffold_1_2761614_2761710_+" -1 0 0 0 0
"scaffold_1_2763269_2763412_+" 0 0 0 0 0
"scaffold_1_2796145_2796158_+" 1 -1 0 1 0
"scaffold_1_2812807_2812869_+" 0 0 0 0 0
"scaffold_1_2826169_2826253_+" 0 0 0 0 0
"scaffold_1_2836700_2836779_+" 1 0 0 1 0
"scaffold_1_2839909_2840002_+" 0 0 0 0 0
"scaffold_1_2857901_2858022_+" 0 0 0 0 0
"scaffold_1_2859992_2860127_+" 1 0 -1 1 0
"scaffold_1_2860160_2860445_+" 1 -1 0 1 0
"scaffold_1_2863926_2864004_+" 0 0 0 0 0
"scaffold_1_2864135_2864493_+" 0 0 0 0 0
"scaffold_1_2876537_2876626_+" 0 0 0 0 0
"scaffold_1_2923808_2923969_+" 1 -1 0 1 0
"scaffold_1_3032942_3032972_+" 0 0 0 0 0
"scaffold_1_3082176_3082338_+" 0 0 0 0 0
"scaffold_1_3088732_3088877_+" 1 -1 0 1 0
"scaffold_1_3092736_3092879_+" 0 0 0 0 0
"scaffold_1_3102220_3102348_+" 0 0 0 0 0
"scaffold_1_3116739_3116805_+" 0 0 0 0 0
"scaffold_1_3117134_3117161_+" 0 0 0 0 0
"scaffold_1_3124410_3124633_+" 0 0 0 0 0
"scaffold_1_3136810_3136933_+" -1 0 0 -1 0
"scaffold_1_3157604_3157769_+" 0 0 0 1 0
"scaffold_1_3210861_3211075_+" 0 0 0 0 0
"scaffold_1_3213777_3213897_+" 0 0 0 0 0
"scaffold_1_3213937_3214258_+" 0 0 0 0 0
"scaffold_1_3216659_3216931_+" 0 0 0 0 0
"scaffold_1_3222097_3222394_+" 0 0 0 0 0
"scaffold_1_3226932_3226943_+" -1 1 0 -1 0
"scaffold_1_3272830_3272973_+" 0 0 0 0 0
"scaffold_1_3562625_3562723_+" 0 0 0 0 0
"scaffold_1_3768948_3769094_+" 0 0 0 0 0
"scaffold_1_3771063_3771270_+" 0 0 0 0 0
"scaffold_1_3773642_3773837_+" 0 0 0 0 0
"scaffold_1_3774396_3774477_+" 0 0 0 0 0
"scaffold_1_3776607_3776718_+" 0 0 0 0 0
"scaffold_1_3780302_3780605_+" 1 0 0 0 0
"scaffold_1_3781662_3781835_+" 1 -1 0 1 0
"scaffold_1_3781922_3782054_+" 0 0 0 0 0
"scaffold_1_3782797_3782890_+" 0 0 0 0 0
"scaffold_1_3865384_3865443_+" 0 0 0 0 0
"scaffold_1_3878217_3878377_+" 0 0 0 0 0
"scaffold_1_3879591_3879649_+" 0 0 0 0 0
"scaffold_1_3900089_3900197_+" 0 0 0 0 0
"scaffold_1_3904992_3905096_+" 0 0 0 0 0
"scaffold_1_3908051_3908162_+" 0 0 0 0 0
"scaffold_1_3917527_3917653_+" 1 0 0 0 0
"scaffold_1_3922749_3922842_+" 0 0 0 0 0
"scaffold_1_3927151_3927293_+" 0 0 0 0 0
"scaffold_1_3930087_3930240_+" 0 0 0 0 0
"scaffold_1_3931989_3932032_+" 1 0 0 1 0
"scaffold_1_3973864_3973944_+" -1 1 0 -1 0
"scaffold_1_3977682_3977776_+" 0 0 0 0 0
"scaffold_1_3982758_3982796_+" 0 0 0 0 0
"scaffold_1_4131140_4131215_+" 0 0 0 0 0
"scaffold_1_4133380_4133470_+" 0 0 0 0 0
"scaffold_1_4139789_4139930_+" 0 -1 1 1 0
"scaffold_1_4181471_4181571_+" 0 0 0 0 0
"scaffold_1_156924_157009_-" 0 0 0 0 0
"scaffold_1_262972_263101_-" 1 0 0 0 0
"scaffold_1_324065_324228_-" 1 0 0 1 0
"scaffold_1_328147_328219_-" 0 0 0 0 0
"scaffold_1_335509_335584_-" 0 0 0 0 0
"scaffold_1_342616_342816_-" 0 0 0 0 0
"scaffold_1_347357_347494_-" -1 0 0 0 0
"scaffold_1_372358_372398_-" 0 0 0 0 0
"scaffold_1_400065_400280_-" 0 0 0 0 0
"scaffold_1_402233_402306_-" 0 0 0 0 0
"scaffold_1_405454_405526_-" 0 0 0 0 0
"scaffold_1_423349_423506_-" 0 0 0 0 0
"scaffold_1_434132_434175_-" 1 -1 0 1 0
"scaffold_1_440319_440358_-" 0 0 0 0 0
"scaffold_1_474966_474986_-" 0 0 0 0 0
"scaffold_1_584388_584426_-" -1 0 1 -1 0
"scaffold_1_594439_594567_-" 0 0 0 0 0
"scaffold_1_597083_597212_-" 0 0 0 0 0
"scaffold_1_605666_605869_-" 0 0 0 0 0
"scaffold_1_612138_612222_-" 0 0 0 0 0
"scaffold_1_617212_617271_-" -1 1 0 -1 0
"scaffold_1_620312_620397_-" 0 0 0 0 0
"scaffold_1_630784_630861_-" -1 1 0 -1 0
"scaffold_1_651648_651738_-" 0 0 0 0 0
"scaffold_1_676081_676369_-" 0 0 0 0 0
"scaffold_1_676432_676587_-" 0 0 0 0 0
"scaffold_1_676701_676882_-" 0 0 0 0 0
"scaffold_1_683343_683460_-" 0 0 0 0 0
"scaffold_1_688130_688198_-" 0 0 0 0 0
"scaffold_1_695932_696032_-" 1 -1 0 1 0
"scaffold_1_698533_698559_-" 0 0 0 0 0
"scaffold_1_702713_702758_-" 1 0 0 0 0
"scaffold_1_728154_728189_-" 0 0 0 0 0
"scaffold_1_848022_848077_-" 1 -1 0 1 0
"scaffold_1_854005_854115_-" 0 0 0 0 0
"scaffold_1_919424_919514_-" 0 0 0 0 0
"scaffold_1_931728_931855_-" 0 0 0 0 0
"scaffold_1_939433_939599_-" 0 0 0 0 0
"scaffold_1_978038_978113_-" 0 0 0 0 0
"scaffold_1_981261_981368_-" 0 0 0 0 0
"scaffold_1_982945_983016_-" -1 0 0 -1 0
"scaffold_1_983227_983292_-" 0 0 0 0 0
"scaffold_1_986045_986141_-" -1 0 0 0 0
"scaffold_1_1052554_1052608_-" 0 0 0 0 0
"scaffold_1_1141040_1141147_-" 0 0 0 0 0
"scaffold_1_1247290_1247460_-" -1 0 0 -1 0
"scaffold_1_1252777_1252901_-" 0 0 0 0 0
"scaffold_1_1258596_1258783_-" 0 0 0 0 0
"scaffold_1_1389083_1389209_-" 0 0 0 0 0
"scaffold_1_1425382_1425398_-" 0 -1 0 1 0
"scaffold_1_1434635_1434759_-" -1 0 0 0 0
"scaffold_1_1440439_1440460_-" 0 0 0 0 0
"scaffold_1_1451292_1451416_-" 0 0 0 0 0
"scaffold_1_1456993_1457190_-" 0 0 0 0 0
"scaffold_1_1457773_1457915_-" 1 0 -1 1 0
"scaffold_1_1471049_1471176_-" 0 0 0 0 0
"scaffold_1_1499724_1499785_-" 0 0 0 0 0
"scaffold_1_1514007_1514119_-" 0 0 0 0 0
"scaffold_1_1514858_1514920_-" 0 1 -1 0 -1
"scaffold_1_1533505_1533612_-" 0 0 0 0 0
"scaffold_1_1549243_1549431_-" 1 0 0 1 0
"scaffold_1_1570205_1570303_-" 0 0 0 0 0
"scaffold_1_1579919_1579951_-" 1 -1 0 1 0
"scaffold_1_1581061_1581604_-" 0 0 0 0 0
"scaffold_1_1587983_1588116_-" 0 1 0 -1 0
"scaffold_1_1629468_1629647_-" 1 0 0 1 0
"scaffold_1_1722827_1722872_-" 0 -1 1 0 0
"scaffold_1_1771091_1771242_-" 0 0 0 0 0
