"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"scaffold_13_457341_457890_+" 2.27900672611235 1.15105059005161 12.4205759480465 2.38510310703351e-09 9.17979721198665e-09 11.6609319197899
"scaffold_76_463039_463441_+" 2.15615165972618 2.29000207904734 12.4197195496604 2.3873866726467e-09 9.18777002834348e-09 11.6719613690324
"scaffold_10_722676_723007_+" 2.39474867494486 2.56062266518555 12.4177589762721 2.3926232243606e-09 9.20710487775533e-09 11.6488761976608
"scaffold_155_58267_58474_-" 2.41188109641127 2.54832779305355 12.4158463007513 2.3977435777967e-09 9.22598918753285e-09 11.6448782834593
"scaffold_6_890176_891969_-" 2.10381771639898 2.70553195754344 12.4155661586323 2.39849451062145e-09 9.22805906821639e-09 11.6754982693951
"scaffold_17_1402030_1402370_+" 2.16691946344371 2.44010822542849 12.4145571555946 2.40120125254206e-09 9.23765276750466e-09 11.6653988769716
"scaffold_80_485520_485744_+" 2.36987221773334 1.66881387148418 12.4091655197595 2.41571978245994e-09 9.29268181611112e-09 11.6412253407035
"scaffold_17_785222_785467_-" 2.48479949357021 2.35126349685701 12.4073864726762 2.42053077142043e-09 9.31036187877853e-09 11.6252540217057
"scaffold_30_420734_420976_-" 2.55756158747041 1.36646519629079 12.4055999065398 2.42537231519305e-09 9.32815631851346e-09 11.6159624597808
"scaffold_5_2253534_2254480_-" 2.27709346566055 2.66216713115796 12.4018517782487 2.4355630250587e-09 9.36651905056748e-09 11.6413430743913
"scaffold_8_311493_312686_-" 2.22533217884656 2.47874701066059 12.4006397648152 2.43886804678495e-09 9.37839682213587e-09 11.6443479935965
"scaffold_107_258211_258335_+" 2.26047803653615 0.849457297447157 12.3992300615055 2.44271812714089e-09 9.39236826202576e-09 11.6425557815682
"scaffold_36_486229_486947_-" 2.32951744145443 2.44502606803915 12.3988097305983 2.44386735111558e-09 9.39595322161981e-09 11.6329173057908
"scaffold_3_2962508_2962985_-" 2.05467244646507 2.20266263935695 12.3914053261179 2.46420592721412e-09 9.4733084296787e-09 11.6495830268683
"scaffold_8_1952133_1953219_+" 2.12862918996483 1.99494274693872 12.389973146739 2.46816053362703e-09 9.48766953064723e-09 11.6415470442411
"scaffold_129_258800_258995_-" 2.49198540598374 2.32592191698597 12.3897887540731 2.46867017660131e-09 9.48878673451282e-09 11.60705608366
"scaffold_1_2625666_2626175_-" 2.07141390715985 1.65284407691719 12.3894429939715 2.46962612380465e-09 9.49161904018099e-09 11.6444431705032
"scaffold_86_201713_202524_+" 3.27907789776884 3.77191843532088 12.3876099426857 2.47470064737463e-09 9.51027853895273e-09 11.52388049493
"scaffold_135_308001_308195_-" 2.54113395364212 2.85437851960242 12.386616179236 2.47745634919914e-09 9.51971555044769e-09 11.5961569562186
"scaffold_41_801787_802215_-" 2.07118371095342 2.73604192557571 12.3865659471754 2.47759572881983e-09 9.51971555044769e-09 11.6442599849128
"scaffold_2_1595744_1597158_-" 2.14207064475044 2.25895589433802 12.382248374604 2.48960687367924e-09 9.56501794883630e-09 11.6314424478029
"scaffold_226_72443_72787_-" 2.2106717740206 -0.915800705276808 12.3806410207734 2.49409415665364e-09 9.58140835530906e-09 11.6230555149557
"scaffold_40_257125_257797_+" 2.29648261343156 2.18992924297795 12.3788860911146 2.49900322113049e-09 9.59941604386023e-09 11.6117199838743
"scaffold_25_670372_670761_+" 2.46411855182612 2.00374642248759 12.3771029853488 2.50400159337787e-09 9.61776356690512e-09 11.5909911459209
"scaffold_24_1296497_1296542_+" 2.45609182066 2.15051801645366 12.3768032750381 2.50484277602618e-09 9.62014166422393e-09 11.592723241745
"scaffold_83_114334_114426_-" 2.22154678908868 2.05031727952547 12.3761623077588 2.50664275373845e-09 9.62620137816628e-09 11.6151143752635
"scaffold_17_1221950_1222208_-" 2.2210266498122 2.91884432002556 12.3748931340144 2.51021092016613e-09 9.63904974981103e-09 11.6131298621904
"scaffold_4_508584_508920_-" 3.23933809295844 4.14176545147589 12.3746965263337 2.51076414616616e-09 9.64031969131469e-09 11.5112461750094
"scaffold_30_764343_765136_+" 2.42937082287063 2.18547795218642 12.3735108479327 2.51410321711474e-09 9.65228497870742e-09 11.5892058510813
"scaffold_20_423353_423479_+" 2.65051367274213 3.26172277279161 12.369458044484 2.52555218260094e-09 9.69538134532768e-09 11.5646544476773
"scaffold_107_62816_63253_-" 2.56354456275506 2.69674817543893 12.3686300128424 2.52789812156714e-09 9.70352742225728e-09 11.5738140014857
"scaffold_3_48238_48595_+" 2.13961414200425 1.95539625818318 12.3660689846264 2.53516853257117e-09 9.73057333825112e-09 11.6118115472282
"scaffold_109_323799_324123_+" 2.1790133561295 1.82841590303176 12.3620036371505 2.54675505191015e-09 9.77417923456984e-09 11.602927271198
"scaffold_142_115030_115260_-" 2.10082169384439 1.48512646713699 12.3611169140323 2.54928972198068e-09 9.78304043352832e-09 11.6117585502399
"scaffold_7_752834_753763_-" 2.236044913982 2.23966293486334 12.3602174887098 2.55186343257767e-09 9.79204986979541e-09 11.5957061673482
"scaffold_81_435856_436168_-" 2.37533372015987 2.76045410195393 12.3572189632681 2.56046364400953e-09 9.8241806447358e-09 11.5801801356931
"scaffold_4_878855_879044_+" 2.31778892584537 2.35466839793098 12.3553749764276 2.56576771980034e-09 9.84365998654648e-09 11.5828487554783
"scaffold_7_111273_111555_-" 2.40382499349352 2.49557391063252 12.353412053048 2.57142670563364e-09 9.86449738341449e-09 11.5700712168001
