mat_females_1 mat_females_2 mat_females_3 mat_males_1 mat_males_2 pE_females_1 pE_females_2 pE_females_3 logFC AveExpr t P.Value adj.P.Val B FDR tw_dis chr start end strand de
scaffold_1_1588593_1588638_+ 56.0309689273438 41.9820530725346 75.9807430018265 25.4491885925904 42.6131240211513 74.6573997863342 114.578357239244 139.359839094849 -1.13384140616981 6.17914217867161 -3.57214961070145 0.00802509721125716 0.0272307780413967 -3.35191049080673 0.0272307780413967 0.0550782205964124 scaffold_1 1588593 1588638 + 0
scaffold_1_1591711_1591715_+ 12.9746123146146 11.2744378489774 12.9091430090394 11.4086156572553 16.2704959149043 20.710031276316 22.7260187542791 27.1931022666634 -0.227145331075808 4.2556460933063 -1.23336364392847 0.254525843551156 0.357544028815204 -6.51845402241272 0.357544028815204 0.0218476150388723 scaffold_1 1591711 1591715 + 0
scaffold_1_1623655_1623687_+ 35.2068695962574 39.645074273672 35.7267344633641 16.955612448952 13.6204673120201 29.3320482551247 27.8378583202356 18.7734229187369 -0.886399451611129 4.9013591501701 -4.51973705009746 0.00226956592333625 0.0113233658977624 -1.84749187240324 0.0113233658977624 0.020956506437883 scaffold_1 1623655 1623687 + 0
scaffold_1_1640782_1640792_+ 16.6324040608462 19.1411158728762 15.6574917875892 6.39857650158585 7.08516088682495 9.7656930935967 11.5923682266492 16.2586999230681 -0.966092308157166 3.84363550244848 -2.46556760581198 0.040752943695631 0.0918113331089847 -4.11152848882907 0.0918113331089847 0.023425298569648 scaffold_1 1640782 1640792 + 0
scaffold_1_1647762_1647798_+ 42.3495766214047 42.0951356146147 42.3175441220815 0 6.19248222826113 16.5702282206466 19.9524542250251 16.5730087115222 -3.86395512485905 4.01560007816957 -4.26644782147666 0.00313977773658833 0.014066149006458 -1.42842444901002 0.014066149006458 0.0206794664075747 scaffold_1 1647762 1647798 + 0
scaffold_1_1651966_1651980_+ 16.3234857754231 21.8491942368401 13.5054866921086 47.1245118036888 23.3731670630545 42.1748214504641 41.6492051820872 47.8717723732802 0.363582487484763 5.06608696713177 1.34330709610603 0.218221438519755 0.316647588621318 -6.62244245526828 0.316647588621318 0.0334884858518269 scaffold_1 1651966 1651980 + 0
scaffold_1_1657512_1657520_+ 0 0 0 15.0553793201485 17.8224456900024 13.5953909328233 14.8432968058208 15.557932803063 2.69009909392064 2.32409355014194 7.48237539646817 9.60224690262831e-05 0.00156197572219591 1.82800003669968 0.00156197572219591 0.02383736890691 scaffold_1 1657512 1657520 + 1
scaffold_1_1659771_1659812_+ 6.43607969853756 6.50990656847488 0.0217777430775814 16.1871516023479 18.2658864783718 5.62577473181742 8.26123666154107 7.00695910174782 2.00612329010036 2.89947199461625 4.38341099295161 0.00269956866932152 0.0127503282744439 -1.40645190572732 0.0127503282744439 0.0300032790726149 scaffold_1 1659771 1659812 + 0
scaffold_1_1659976_1660009_+ 12.7408917016976 10.8673016716372 12.5324457337518 21.3484455855189 18.0486218180129 9.3503981504726 9.4643738560402 7.68351667002123 0.983607510360125 3.85749237992124 7.03316036572503 0.00014527879298941 0.00200834945241488 1.24141576233526 0.00200834945241488 0.0220250213794366 scaffold_1 1659976 1660009 + 1
scaffold_1_1662832_1662838_+ 22.5922523080838 22.5297816214867 9.95242290517434 89.3222557159718 42.6411397365891 63.5510056403441 43.4002423087455 50.2450103622526 1.11618786715436 5.38593987009439 3.04618357370305 0.0170889705414255 0.0484688625477277 -4.15477666422974 0.0484688625477277 0.0604328499837423 scaffold_1 1662832 1662838 + 0
