"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"scaffold_72_376914_377010_-" 2.7011889963684 2.28047019568367 12.4044401753628 2.42852064740862e-09 9.77227505987052e-09 11.6568518891008
"scaffold_51_49262_50353_-" 2.39143132537857 2.808450303544 12.4014531620733 2.43664948146311e-09 9.80407461310092e-09 11.6829230997346
"scaffold_15_293115_293503_-" 2.41149666800322 2.17961725777503 12.4013620134446 2.43689798561185e-09 9.80416400080034e-09 11.6784186084613
"scaffold_12_724727_725595_-" 2.68641145217883 2.65131900707837 12.4006356567066 2.43887925720647e-09 9.8112240202161e-09 11.6554456292134
"scaffold_36_491827_492556_-" 2.38238271661592 2.17975634389218 12.3987282521109 2.44409018721713e-09 9.83127392548226e-09 11.6816066786904
"scaffold_33_1081769_1081797_-" 2.62509709934082 2.08141874268659 12.3984697433532 2.44479732725111e-09 9.83320544007443e-09 11.6549542826092
"scaffold_99_379387_379658_+" 2.90762448441521 2.86343338586442 12.3964903670158 2.45021902204077e-09 9.85409721980305e-09 11.6279746816055
"scaffold_70_36844_37208_+" 2.48938289789508 2.02467821995805 12.3916143379599 2.46362935492673e-09 9.90661457321609e-09 11.6622520756796
"scaffold_6_1627919_1629127_-" 2.30710659325556 2.43853273092476 12.3915761254971 2.46373475572181e-09 9.90661457321609e-09 11.6824077893778
"scaffold_2_810704_811254_+" 2.32270079382541 2.36858973371694 12.3861524407077 2.47874340702596e-09 9.96603905464056e-09 11.6722830891837
"scaffold_2_457902_458166_-" 2.48573769257345 2.6669308296169 12.3770911435536 2.50403482349809e-09 1.00667915712052e-08 11.6431933293748
"scaffold_72_199647_200071_-" 3.11150380661281 2.60642659571051 12.3765535762873 2.50554382232969e-09 1.00719235151472e-08 11.5796334557737
"scaffold_28_44138_44245_-" 2.31630395752844 1.82093906169076 12.3751475615311 2.50949518916502e-09 1.0086871561904e-08 11.6555546695091
"scaffold_42_659026_659583_+" 3.15479557521968 2.92508606436673 12.3709878080682 2.52122419820714e-09 1.01330760307535e-08 11.5731533257845
"scaffold_34_762150_762547_+" 2.5928544483609 2.2529737676606 12.3704634087867 2.52270693467747e-09 1.01380948568626e-08 11.6293206966975
"scaffold_18_1170913_1171021_+" 3.09772542160302 2.82402393380132 12.3666327339201 2.53356622474113e-09 1.01807911568479e-08 11.5684639189432
"scaffold_72_323534_323597_+" 2.24354904845083 2.02154008464579 12.3651238553316 2.53785722212741e-09 1.01970881949265e-08 11.6574717164774
"scaffold_32_245263_245431_-" 2.27927059376002 1.82599864807378 12.363838742625 2.5415179410642e-09 1.0210849992076e-08 11.6487299346185
"scaffold_4_483554_484016_-" 2.36656440943663 2.38345811955381 12.3571533951789 2.56065204579243e-09 1.02867603883925e-08 11.6294289757006
"scaffold_63_98980_99227_-" 2.30205223675785 2.18397489682406 12.3570715736244 2.56088717050275e-09 1.02867603883925e-08 11.6383509189708
"scaffold_106_172252_172571_+" 2.45590372416945 2.34049065656649 12.3564029917984 2.5628092836036e-09 1.02935269325493e-08 11.6186610540956
"scaffold_3_446024_446834_+" 2.43169661297937 2.16799465507725 12.3545896140409 2.56803028491367e-09 1.03135409829597e-08 11.6263880513203
"scaffold_121_154430_154632_-" 2.56715900501508 2.20916449442195 12.3536065197797 2.57086548023893e-09 1.03239705067042e-08 11.6047154181669
"scaffold_37_941963_945236_-" 2.62096368845854 3.07329478957668 12.3528840264627 2.5729512302556e-09 1.03313887861033e-08 11.5996574878847
"scaffold_215_95735_96206_+" 2.68934699933704 2.63497599978124 12.3515106048148 2.57692107777349e-09 1.03463703656394e-08 11.5959995470596
"scaffold_5_1153309_1153693_+" 3.01572045505912 3.46252343729561 12.3459157106254 2.59316022217842e-09 1.04106059846277e-08 11.5610334049023
"scaffold_19_914732_914975_-" 2.35687155431 2.54750272932598 12.3456301039317 2.59399209815187e-09 1.0412980787967e-08 11.6203771196558
"scaffold_38_119982_120359_-" 2.46132632752482 2.41558407643619 12.3454177086788 2.59461091727067e-09 1.0414499963097e-08 11.6117181089687
"scaffold_72_538738_538844_-" 2.51646378205705 3.05986308543947 12.344834386104 2.59631124792191e-09 1.04203595301033e-08 11.6089312662879
"scaffold_8_1365176_1365269_+" 2.52885091266411 2.67148220293589 12.3444640362882 2.5973913958481e-09 1.04237291234267e-08 11.6084679103238
"scaffold_142_47245_47802_-" 2.36722046605299 2.47355153419011 12.342295647466 2.60372520025647e-09 1.04481798672142e-08 11.6134512666536
"scaffold_36_1091627_1092084_+" 2.45073791886072 2.56941871422251 12.3411815439941 2.60698583029234e-09 1.04602952475686e-08 11.6099771587857
"scaffold_10_308189_308291_+" 2.56811259299915 2.29894049801702 12.3355234342946 2.62361227014141e-09 1.0526032523025e-08 11.5838597978239
"scaffold_1_3136752_3136932_+" 2.64555835537984 2.59868073915585 12.334385473722 2.62696973843895e-09 1.05385269340376e-08 11.5767469960745
"scaffold_31_290138_291036_-" 2.71422726957324 3.03714008763577 12.3304030862359 2.63875537727534e-09 1.0584826911937e-08 11.5726530092823
"scaffold_114_9457_10012_+" 2.34115916927063 2.15760169584009 12.3280903523101 2.64562548754807e-09 1.06114025063421e-08 11.6006484203202
"scaffold_2_1246350_1246991_+" 2.27858702648824 2.31869920949095 12.3278895021634 2.64622301858654e-09 1.06128166715986e-08 11.6105271482865
"scaffold_91_168473_168869_+" 2.27025089851464 1.85221119161987 12.3275031220036 2.64737290541214e-09 1.06164456219813e-08 11.6101453541024
"scaffold_111_234929_235561_-" 2.35610543881958 2.43002995435231 12.3266684379499 2.64985877536088e-09 1.06254309394989e-08 11.6004361441084
"scaffold_99_141703_141854_-" 2.89675970568423 2.49321473345797 12.3255070754098 2.65332168127678e-09 1.06383319602996e-08 11.5422287460995
"scaffold_3_1638405_1638658_-" 2.13027045135439 2.2141496301671 12.3203504631076 2.66875549841853e-09 1.06992227930491e-08 11.6151608228884
"scaffold_17_718939_719111_-" 3.29807043556398 3.41005754520752 12.3145658865194 2.68618212781291e-09 1.07680909390842e-08 11.4895281483856
"scaffold_88_460565_460758_+" 2.39567210118889 2.07735206939731 12.3103510096376 2.69895581060372e-09 1.08182958136939e-08 11.5726116837781
"scaffold_51_95431_95609_-" 3.25434625228925 3.39836297345308 12.3067442385614 2.70993767496629e-09 1.08613098710074e-08 11.4911579781285
"scaffold_35_367482_370074_-" 2.24007178511227 2.54855520977761 12.3066227656246 2.71030835803932e-09 1.08617907612997e-08 11.5865106061713
"scaffold_28_1174577_1174875_-" 2.81568219589548 3.17971692429794 12.3003570718163 2.7295016208366e-09 1.093769767151e-08 11.522672611578
"scaffold_78_111980_112193_+" 2.37173800596391 2.48840479775164 12.2990125053848 2.73363907964379e-09 1.09532642897112e-08 11.56901489658
"scaffold_31_25493_25864_+" 2.54271800296306 2.08720469867038 12.2967385740403 2.74065148561654e-09 1.09803464273925e-08 11.5491103307107
"scaffold_14_121790_121882_-" 4.06218182918082 3.93780799898106 12.2918755853519 2.75571215361352e-09 1.10396657205233e-08 11.3930801548039
