mat_females_1 mat_females_2 mat_females_3 mat_males_1 mat_males_2 pE_females_1 pE_females_2 pE_females_3
scaffold_1_406282_406290_+ 48.6032460385867 45.5036840482662 46.6997937379722 49.4210963463635 40.2098181359499 45.7516584976205 62.68655457736 59.3986666562459
scaffold_1_409256_409263_+ 25.2583798310765 20.7324477616361 26.6198035311123 14.5581524121071 11.1265524157012 5.67877728424798 8.24576502661836 6.42617153883362
scaffold_1_415215_415257_+ 18.5228118761228 20.1939426249702 22.0143011900894 10.4716534894103 11.1265524157012 13.5004893927405 14.0552812953722 11.810261206505
scaffold_1_424111_424137_+ 8.64908157852015 10.9047290174839 9.57944486932762 0 0 6.21451099030911 8.99538002903821 0
scaffold_1_442734_442760_+ 35.2086506736219 34.0604498941164 29.6594350761874 31.6703666508996 26.2190047023454 33.1083430345779 30.8279169745164 32.8255789416095
scaffold_1_517723_517732_+ 13.7772980896781 10.2315975966516 19.3431098322962 29.3717110068827 45.6078485158446 181.292286131087 173.7232768108 203.379645188491
scaffold_1_532568_532577_+ 46.6897324150203 50.4848565624255 56.3713486541202 60.1481560184424 44.2858818921969 25.9295113733587 19.5836919382186 22.9258011655686
scaffold_1_560841_560913_+ 4188.52824089698 3644.60276495462 3734.14129810136 5303.76478929501 4905.37748481529 3206.58052425829 2897.26198435272 4746.509242832
scaffold_1_561752_561822_+ 40.7961104544358 30.2909139374553 33.804387183108 66.1502013111532 70.8353782504543 68.6810611170369 52.6604539199945 12.1576218302258
scaffold_1_562554_562716_+ 1065.21476396695 880.859777301201 726.287719179311 1477.90787601154 1616.8753446064 883.746321518441 667.719563405482 745.088537880979
scaffold_1_562906_562947_+ 16.1500549829005 14.1357598374791 10.0399951034299 14.04734004677 22.2531048314024 8.14315233212918 9.74499503145806 8.16297465743729
scaffold_1_563101_563167_+ 302.335152523492 219.440843191343 181.548902283123 477.354155407511 480.86535935184 225.115303286887 179.813898705462 160.65428847084
scaffold_1_563319_563394_+ 94.4510324592378 65.1591215365706 58.8583199182726 131.023371708964 129.22223746156 70.2882622352203 69.2456858485337 29.8730136399833
scaffold_1_563543_563715_+ 106.927141284891 75.1214665648892 67.9772145534979 136.770010819006 168.110088973862 57.8592402546021 66.7157352153667 60.2670682155477
